gpr_mean,true_y,gpr_lwr,gpr_upr,t0_mean,t0_lwr,t0_upr,Treated,obs_id,period
-0.3384371361660994,0.0,-0.930759833814909,0.25388556148271024,-0.3384371361660994,-0.930759833814909,0.25388556148271024,0.0,0.0,1.0
-0.3551365582567251,0.0,-0.9469862772061611,0.23671316069271098,-0.3551365582567251,-0.9469862772061611,0.23671316069271098,0.0,0.0,2.0
-0.2148993009860961,0.0,-0.8065880921397617,0.37678949016756946,-0.2148993009860961,-0.8065880921397617,0.37678949016756946,0.0,0.0,3.0
-0.0552630549008824,0.0,-0.6468974103040286,0.5363713005022637,-0.0552630549008824,-0.6468974103040286,0.5363713005022637,0.0,0.0,4.0
-0.05065107829973314,0.0,-0.6422930158419305,0.5409908592424643,-0.05065107829973314,-0.6422930158419305,0.5409908592424643,0.0,0.0,5.0
-0.1848034854067434,0.0,-0.7763990555057231,0.40679208469223627,-0.1848034854067434,-0.7763990555057231,0.40679208469223627,0.0,0.0,6.0
-0.22004874227247395,0.0,-0.8116035260413936,0.3715060414964457,-0.22004874227247395,-0.8116035260413936,0.3715060414964457,0.0,0.0,7.0
-0.0007123125787779072,0.0,-0.5922759530504969,0.590851327892941,-0.0007123125787779072,-0.5922759530504969,0.590851327892941,0.0,0.0,8.0
0.3035579132000797,0.0,-0.2880271381014788,0.8951429645016382,0.3035579132000797,-0.2880271381014788,0.8951429645016382,0.0,0.0,9.0
0.4186448181407487,0.0,-0.17295900435040779,1.0102486406319051,0.4186448181407487,-0.17295900435040779,1.0102486406319051,0.0,0.0,10.0
0.32715326447277165,0.0,-0.2645570402464748,0.9188635691920182,0.32715326447277165,-0.2645570402464748,0.9188635691920182,0.0,0.0,11.0
0.21312706301492917,0.0,-0.37853593821484804,0.8047900642447063,0.21312706301492917,-0.37853593821484804,0.8047900642447063,0.0,0.0,12.0
0.17379598537136903,0.0,-0.41780963012352307,0.7654016008662612,0.17379598537136903,-0.41780963012352307,0.7654016008662612,0.0,0.0,13.0
0.17302117672900938,0.0,-0.4186190130755456,0.7646613665335644,0.17302117672900938,-0.4186190130755456,0.7646613665335644,0.0,0.0,14.0
0.15164984937581216,0.0,-0.4400363589302163,0.7433360576818406,0.15164984937581216,-0.4400363589302163,0.7433360576818406,0.0,0.0,15.0
0.08688195758315442,0.0,-0.5047442332455947,0.6785081484119035,0.08688195758315442,-0.5047442332455947,0.6785081484119035,0.0,0.0,16.0
0.046680585175191414,0.0,-0.5449757722713306,0.6383369426217134,0.046680585175191414,-0.5449757722713306,0.6383369426217134,0.0,0.0,17.0
0.11413958914703498,0.0,-0.4774240240317957,0.7057032023258656,0.11413958914703498,-0.4774240240317957,0.7057032023258656,0.0,0.0,18.0
0.18921764038673972,0.0,-0.40241174560412796,0.7808470263776074,0.18921764038673972,-0.40241174560412796,0.7808470263776074,0.0,0.0,19.0
0.11236707562227877,0.0,-0.4793337799966292,0.7040679312411867,0.11236707562227877,-0.4793337799966292,0.7040679312411867,0.0,0.0,20.0
-0.008954920504104014,0.0,-0.6007089111607355,0.5827990701525274,-0.008954920504104014,-0.6007089111607355,0.5827990701525274,0.0,0.0,21.0
0.05840636257736531,0.0,-0.5338402210902339,0.6506529462449645,0.05840636257736531,-0.5338402210902339,0.6506529462449645,0.0,0.0,22.0
-0.35421718014767983,0.0,-0.9520223006279922,0.2435879403326326,-0.35421718014767983,-0.9520223006279922,0.2435879403326326,1.0,1.0,1.0
-0.33514484674001965,0.0,-0.9304360558364504,0.2601463623564111,-0.33514484674001965,-0.9304360558364504,0.2601463623564111,1.0,1.0,2.0
-0.23273540974427923,0.0,-0.827859391972249,0.3623885724836906,-0.23273540974427923,-0.827859391972249,0.3623885724836906,1.0,1.0,3.0
-0.12719602618385173,0.0,-0.7222786200652189,0.46788656769751547,-0.12719602618385173,-0.7222786200652189,0.46788656769751547,1.0,1.0,4.0
-0.113336109272623,0.0,-0.7083305492084928,0.48165833066324676,-0.113336109272623,-0.7083305492084928,0.48165833066324676,1.0,1.0,5.0
-0.17766567406142247,0.0,-0.7723822613835054,0.4170509132606604,-0.17766567406142247,-0.7723822613835054,0.4170509132606604,1.0,1.0,6.0
-0.187884517678948,0.0,-0.7834411015486425,0.4076720661907466,-0.187884517678948,-0.7834411015486425,0.4076720661907466,1.0,1.0,7.0
-0.0013566412008969506,0.0,-0.597381135319494,0.5946678529177001,-0.05648256779618562,-0.6571090235731625,0.5441438879807912,1.0,1.0,8.0
0.1977902144688954,0.0,-0.3968124738194721,0.7923929027572629,0.12349037833609833,-0.4830600192755814,0.730040775947778,1.0,1.0,9.0
0.2796046570573334,0.0,-0.315134004833457,0.8743433189481238,0.18694769439531256,-0.4208097325725627,0.7947051213631878,1.0,1.0,10.0
0.2152271572102582,0.0,-0.37939755198814673,0.8098518664086631,0.10620033106938159,-0.5008375602598032,0.7132382223985663,1.0,1.0,11.0
0.11641154198157899,0.0,-0.47828786146592916,0.7111109454290871,-0.006339643638344911,-0.6136476867624371,0.6009683994857472,1.0,1.0,12.0
0.07436683220402909,0.0,-0.520700679510447,0.6694343439185051,-0.0593238448437889,-0.6674906579896327,0.5488429683020548,1.0,1.0,13.0
0.08854856423176477,0.0,-0.5062406643318795,0.6833377927954092,-0.0535094348712339,-0.6616903253263544,0.5546714555838865,1.0,1.0,14.0
0.10862673586900864,0.0,-0.4860865889370465,0.7033400606750637,-0.03953704510466141,-0.6476984967090343,0.5686244064997116,1.0,1.0,15.0
